date,MetarwindDir,MetarwindSpeed,MetarwindGust,UWind,VWind,WindDir,WindSpd,WGust,HCloud,LCloud,MCloud,SWRad,RH1000, RH975, RH950, RH925, RH900, RH850, RH800, RH750, RH700, RH650, RH600, RH550, RH500, Press, T1000, T975, T950, T925, T900, T850, T800, T750, T700, T650, T600, T550, T500, T2m
2011-05-16 12:00, 40, 12.0, NaN, -8.630649711227417, -3.6349808092689515, 67, 9.364891879870447, 9.913583814620972, 0.0, 0.0, 0.0, 640.0, 67.0, 71.0, 68.0, 62.0, 42.0, 32.0, 32.0, 30.0, 26.0, 25.0, 26.0, 27.0, 28.0, 102872.3, 286.9, 284.9, 283.3, 282.1, 282.0, 281.4, 280.2, 277.8, 274.5, 270.4, 266.1, 261.3, 255.8, 289.3
2011-05-16 15:00, 50, 8.0, 20.0, -10.380105896606445, -6.628494566841126, 57, 12.315987116240672, 12.829343814620971, 0.0, 0.0, 0.0, 900.0, 67.0, 66.0, 64.0, 63.0, 47.0, 25.0, 25.0, 24.0, 23.0, 26.0, 29.0, 29.0, 28.0, 102661.9, 288.0, 286.4, 284.9, 283.6, 283.3, 283.1, 281.2, 278.5, 274.7, 270.5, 266.1, 261.2, 255.9, 290.0
2011-05-16 18:00, 70, 9.0, NaN, -9.699761155090332, -6.628494566841126, 55, 11.748289521817279, 12.63496, 0.0, 0.0, 0.0, 498.0, 68.0, 67.0, 71.0, 71.0, 57.0, 29.0, 26.0, 23.0, 22.0, 23.0, 29.0, 28.0, 27.0, 102650.8, 287.7, 286.3, 285.2, 284.2, 283.8, 282.9, 281.0, 278.4, 274.6, 270.5, 266.0, 261.2, 255.9, 289.7
2011-05-16 21:00, 80, 3.0, NaN, -8.572334103393555, -3.304528092689514, 68, 9.187209472716859, 10.885503814620971, 0.0, 0.0, 0.0, 50.0, 67.0, 62.0, 66.0, 68.0, 59.0, 31.0, 21.0, 17.0, 15.0, 17.0, 20.0, 22.0, 24.0, 102495.9, 288.1, 287.1, 286.0, 284.8, 284.0, 283.2, 281.7, 278.6, 275.1, 271.2, 266.9, 262.1, 256.7, 289.6
2011-05-17 00:00, NaN, NaN, NaN, -4.334763237075806, 0.2915760115861893, 93, 4.344558538221856, 5.442751907310486, 0.0, 0.0, 0.0, -2.0, 72.0, 67.0, 64.0, 65.0, 63.0, 42.0, 26.0, 20.0, 16.0, 16.0, 20.0, 25.0, 29.0, 102577.1, 288.2, 287.0, 286.0, 284.8, 283.7, 282.5, 281.0, 278.0, 274.6, 270.7, 266.4, 261.6, 256.2, 289.7
2011-05-17 03:00, 80, 3.0, NaN, -4.704092948303223, 1.8660863582897187, 111, 5.060708326200108, 6.025903814620972, 0.0, 0.0, 0.0, 0.0, 72.0, 65.0, 58.0, 55.0, 51.0, 38.0, 27.0, 19.0, 17.0, 19.0, 24.0, 28.0, 30.0, 102379.4, 288.3, 287.3, 286.6, 285.8, 285.3, 284.4, 281.6, 278.1, 274.7, 271.0, 266.5, 261.6, 256.2, 289.5
2011-05-17 06:00, 90, 3.0, NaN, -4.801284855613709, 2.215977572193146, 114, 5.287995165013729, 6.025903814620972, 0.0, 2.0, 0.0, 20.0, 75.0, 70.0, 63.0, 59.0, 54.0, 46.0, 38.0, 23.0, 16.0, 17.0, 21.0, 25.0, 25.0, 102419.7, 287.9, 286.8, 286.1, 285.3, 284.6, 283.3, 280.7, 277.6, 274.4, 271.0, 266.7, 261.9, 256.3, 289.5
2011-05-17 09:00, 0, 0.0, NaN, -5.034545433158875, -1.6328255490207673, 72, 5.292708852003466, 6.025903814620972, 0.0, 0.0, 0.0, 420.0, 72.0, 64.0, 58.0, 54.0, 52.0, 44.0, 34.0, 24.0, 16.0, 16.0, 20.0, 23.0, 20.0, 102344.9, 288.0, 287.2, 286.6, 285.8, 285.0, 283.6, 281.5, 277.9, 274.4, 270.8, 266.6, 262.0, 256.5, 289.8
2011-05-17 12:00, 300, 8.0, NaN, -8.319635607833863, -6.025903814620972, 54, 10.272675086373592, 10.885503814620971, 0.0, 0.0, 0.0, 858.0, 72.0, 62.0, 61.0, 57.0, 50.0, 47.0, 35.0, 22.0, 15.0, 15.0, 18.0, 18.0, 15.0, 102278.5, 288.6, 288.3, 287.1, 286.2, 285.7, 284.2, 281.7, 278.3, 274.8, 271.0, 266.8, 262.2, 256.7, 290.2
2011-05-17 15:00, 270, 9.0, NaN, -7.678168092689514, -7.2894, 46, 10.587238432168954, 11.66304, 0.0, 0.0, 0.0, 890.0, 72.0, 61.0, 63.0, 62.0, 56.0, 45.0, 45.0, 33.0, 15.0, 11.0, 17.0, 20.0, 10.0, 102069.9, 289.7, 289.4, 288.4, 287.5, 287.2, 285.5, 282.1, 278.3, 275.0, 271.1, 266.6, 262.1, 257.1, 290.8
