date,MetarwindDir,MetarwindSpeed,MetarwindGust,UWind,VWind,WindDir,WindSpd,WGust,HCloud,LCloud,MCloud,SWRad, RH1000, RH975, RH950, RH925, RH900, RH850, RH800, RH750, RH700, RH650, RH600, RH550, RH500, Press, T1000, T975, T950, T925, T900, T850, T800, T750, T700, T650, T600, T550, T500, T2m
2011-05-16 12:00, 30, 13.0, NaN, -2.526991907310486, -5.170614566841126, 26, 5.755079764733268, 7.77536, 0.0, 1.0, 0.0, 650.0, 62.0, 66.0, 71.0, 74.0, 71.0, 35.0, 36.0, 35.0, 30.0, 26.0, 23.0, 21.0, 20.0, 102250.9, 288.6, 286.7, 284.8, 282.9, 281.4, 281.5, 279.9, 277.4, 274.2, 270.3, 265.8, 260.8, 255.3, 291.2
2011-05-16 15:00, 10, 7.0, NaN, -1.6717024278068542, -6.958947051696778, 13, 7.156922039218717, 8.941663814620972, 0.0, 0.0, 0.0, 890.0, 58.0, 60.0, 64.0, 69.0, 70.0, 44.0, 33.0, 29.0, 25.0, 25.0, 25.0, 24.0, 22.0, 102046.3, 290.4, 288.5, 286.6, 284.7, 283.0, 281.9, 280.9, 278.1, 274.6, 270.6, 266.0, 260.9, 255.7, 292.1
2011-05-16 18:00, 0, 2.0, NaN, 2.4298, -6.045342196083069, 338, 6.515373382066638, 8.74728, 0.0, 0.0, 0.0, 478.0, 59.0, 57.0, 59.0, 64.0, 67.0, 61.0, 36.0, 29.0, 25.0, 25.0, 25.0, 24.0, 20.0, 102017.7, 290.1, 288.8, 287.3, 285.6, 284.0, 281.3, 280.8, 278.1, 274.5, 270.5, 266.0, 260.9, 255.7, 290.7
2011-05-16 21:00, NaN, NaN, NaN, -1.749455953655243, -3.7516110980415345, 25, 4.139466386471592, 5.6371361853790285, 0.0, 0.0, 0.0, 40.0, 60.0, 56.0, 58.0, 62.0, 63.0, 51.0, 26.0, 24.0, 20.0, 18.0, 17.0, 15.0, 14.0, 101882.0, 290.0, 289.1, 287.7, 286.0, 284.4, 282.1, 282.0, 278.4, 275.1, 271.2, 266.5, 261.5, 256.1, 286.6
2011-05-17 00:00, NaN, NaN, NaN, -3.382281618537903, 0.3693295953655243, 96, 3.4023864120808263, 4.470831907310486, 0.0, 0.0, 0.0, 0.0, 64.0, 61.0, 62.0, 63.0, 61.0, 42.0, 30.0, 28.0, 23.0, 20.0, 19.0, 16.0, 16.0, 101958.6, 288.9, 288.4, 287.2, 285.6, 284.1, 282.6, 281.5, 277.9, 274.5, 270.7, 266.2, 261.1, 255.8, 285.8
2011-05-17 03:00, NaN, NaN, NaN, -5.442751907310486, 0.42764479768276215, 94, 5.459526389488109, 6.80344, 0.0, 0.0, 0.0, 0.0, 67.0, 60.0, 57.0, 54.0, 47.0, 31.0, 31.0, 28.0, 25.0, 25.0, 25.0, 23.0, 24.0, 101835.4, 287.7, 288.0, 287.1, 286.0, 285.2, 283.9, 281.5, 278.1, 274.7, 270.8, 266.1, 261.0, 255.7, 285.9
2011-05-17 06:00, 0, 2.0, NaN, -4.412516762924194, 0.563713583779335, 97, 4.448379164102848, 5.6371361853790285, 0.0, 0.0, 0.0, 26.0, 71.0, 62.0, 58.0, 55.0, 52.0, 36.0, 32.0, 29.0, 27.0, 24.0, 23.0, 21.0, 20.0, 101860.1, 287.0, 287.6, 286.9, 285.9, 284.9, 283.0, 280.8, 277.6, 274.2, 270.6, 266.3, 261.4, 256.0, 287.2
2011-05-17 09:00, 0, 2.0, NaN, -1.8855248556137085, -2.060470288772583, 42, 2.792980807676929, 3.498911907310486, 0.0, 0.0, 0.0, 440.0, 68.0, 64.0, 56.0, 55.0, 54.0, 38.0, 28.0, 25.0, 21.0, 18.0, 16.0, 16.0, 16.0, 101758.2, 289.1, 288.0, 287.5, 286.4, 285.2, 283.4, 281.5, 278.3, 274.7, 270.9, 266.4, 261.5, 256.2, 291.1
2011-05-17 12:00, 10, 5.0, NaN, -0.4665215895724297, -5.870396762924194, 4, 5.8889048682830705, 6.414671907310486, 0.0, 0.0, 0.0, 870.0, 59.0, 60.0, 62.0, 64.0, 63.0, 44.0, 28.0, 24.0, 20.0, 17.0, 15.0, 14.0, 12.0, 101662.5, 292.1, 290.4, 288.7, 287.0, 285.6, 283.7, 281.5, 278.4, 274.8, 270.9, 266.5, 261.7, 256.4, 293.5
2011-05-17 15:00, 30, 3.0, NaN, -1.4773183814620972, -6.472987051696777, 12, 6.639430018581409, 7.969743814620972, 0.0, 0.0, 0.0, 880.0, 54.0, 55.0, 57.0, 61.0, 63.0, 54.0, 34.0, 20.0, 14.0, 15.0, 17.0, 16.0, 12.0, 101427.1, 294.3, 292.7, 291.0, 289.2, 287.6, 285.0, 282.3, 278.7, 275.1, 271.1, 266.5, 261.8, 256.7, 294.5
2011-05-17 18:00, 0, 1.0, NaN, 1.0302351443862916, -4.917915144386291, 348, 5.024666538200588, 6.609056185379028, 0.0, 0.0, 0.0, 484.0, 57.0, 50.0, 51.0, 55.0, 59.0, 62.0, 46.0, 26.0, 18.0, 18.0, 19.0, 16.0, 10.0, 101329.1, 293.9, 293.2, 291.9, 290.2, 288.3, 284.8, 281.8, 278.4, 274.8, 270.9, 266.5, 261.8, 256.6, 293.1
2011-05-17 21:00, NaN, NaN, NaN, 0.15550719652414322, -0.34989121390342715, 336, 0.38289208628230004, 1.5550720231723785, 1.0, 0.0, 0.0, 40.0, 58.0, 51.0, 50.0, 51.0, 52.0, 53.0, 42.0, 21.0, 15.0, 15.0, 16.0, 16.0, 12.0, 101344.7, 293.1, 292.9, 291.8, 290.2, 288.3, 284.6, 281.2, 278.4, 275.2, 271.3, 266.8, 261.8, 256.5, 287.2
2011-05-18 00:00, NaN, NaN, NaN, 0.8747279768276215, 0.6609056069517135, 232, 1.0963326387302152, 2.138224046344757, -1.0, 0.0, 0.0, 0.0, 64.0, 60.0, 56.0, 54.0, 51.0, 48.0, 40.0, 25.0, 17.0, 16.0, 18.0, 20.0, 18.0, 101292.1, 291.7, 291.4, 290.7, 289.5, 288.1, 284.8, 281.4, 278.2, 274.7, 270.7, 266.2, 261.4, 256.4, 286.4
2011-05-18 03:00, NaN, NaN, NaN, -0.05831519869655371, 0.8552895953655243, 176, 0.8572753083692197, 1.5550720231723785, 0.0, 0.0, 0.0, 0.0, 69.0, 67.0, 62.0, 56.0, 51.0, 48.0, 42.0, 26.0, 14.0, 10.0, 8.0, 9.0, 12.0, 101206.3, 290.8, 290.3, 289.9, 288.9, 287.7, 284.8, 281.4, 277.8, 274.1, 270.3, 266.0, 261.3, 256.0, 285.9
2011-05-18 06:00, 0, 1.0, NaN, 1.107988786096573, 2.099347283420563, 207, 2.373794044672169, 3.110144046344757, 0.0, 0.0, 0.0, 26.0, 70.0, 69.0, 64.0, 58.0, 53.0, 50.0, 46.0, 30.0, 16.0, 10.0, 9.0, 12.0, 17.0, 101186.1, 290.4, 289.9, 289.5, 288.7, 287.5, 284.5, 281.0, 277.4, 274.0, 270.2, 266.0, 261.3, 256.0, 290.0
2011-05-18 09:00, 0, 1.0, NaN, 2.235415953655243, -0.5831520231723786, 284, 2.3102274277625607, 2.526991907310486, 0.0, 0.0, 0.0, 440.0, 69.0, 69.0, 60.0, 53.0, 51.0, 56.0, 59.0, 46.0, 27.0, 18.0, 14.0, 15.0, 25.0, 101138.1, 291.2, 289.6, 289.2, 288.8, 287.8, 284.6, 281.1, 277.3, 273.7, 270.4, 266.3, 261.4, 256.3, 292.4
2011-05-18 12:00, 30, 8.0, NaN, 1.6328255490207673, -6.0064654331588745, 344, 6.22444746730723, 6.414671907310486, 0.0, 0.0, 0.0, 858.0, 66.0, 65.0, 64.0, 62.0, 62.0, 61.0, 56.0, 49.0, 40.0, 28.0, 22.0, 25.0, 40.0, 101068.9, 293.5, 292.0, 290.7, 289.3, 287.8, 284.6, 281.4, 277.6, 273.6, 269.8, 265.8, 261.3, 256.5, 294.1
2011-05-18 15:00, 40, 6.0, NaN, 0.6414672254896164, -5.228929711227417, 353, 5.268129281474989, 6.414671907310486, 0.0, 0.0, 0.0, 870.0, 66.0, 63.0, 62.0, 61.0, 62.0, 64.0, 63.0, 54.0, 46.0, 42.0, 44.0, 51.0, 65.0, 100867.3, 294.4, 293.4, 292.2, 290.7, 288.8, 285.2, 281.4, 277.7, 273.9, 269.9, 265.8, 261.5, 256.7, 294.5
2011-05-18 18:00, 0, 0.0, NaN, 1.61338716755867, -3.771049711227417, 336, 4.1016867355993165, 5.6371361853790285, 46.0, 0.0, 6.0, 466.0, 70.0, 59.0, 55.0, 55.0, 57.0, 62.0, 64.0, 65.0, 61.0, 66.0, 74.0, 76.0, 82.0, 100805.8, 294.0, 293.7, 292.9, 291.4, 289.6, 285.8, 281.9, 277.7, 273.6, 269.3, 265.3, 261.2, 256.8, 293.2
2011-05-18 21:00, NaN, NaN, NaN, 3.4600351443862913, 1.3412495953655243, 248, 3.710902003213834, 4.8596, 64.0, 0.0, 21.0, 40.0, 72.0, 65.0, 59.0, 58.0, 57.0, 60.0, 68.0, 71.0, 76.0, 90.0, 96.0, 97.0, 96.0, 100971.1, 291.1, 290.8, 290.6, 289.7, 288.4, 285.3, 281.2, 277.1, 272.5, 268.5, 265.2, 261.1, 256.5, 289.3
2011-05-19 00:00, NaN, NaN, NaN, 4.334763237075806, 3.012951907310486, 235, 5.279019939086214, 6.609056185379028, 80.0, 0.0, 85.0, -2.0, 71.0, 62.0, 52.0, 48.0, 48.0, 53.0, 52.0, 56.0, 78.0, 93.0, 98.0, 98.0, 96.0, 100987.5, 290.6, 290.8, 291.1, 290.0, 288.4, 284.7, 281.1, 276.8, 272.1, 268.5, 264.9, 260.9, 256.2, 289.5
2011-05-19 03:00, NaN, NaN, NaN, 3.6738575721931457, -0.17494560695171357, 272, 3.678020585335626, 4.665216185379029, 39.0, 0.0, 37.0, 0.0, 73.0, 72.0, 66.0, 61.0, 60.0, 65.0, 68.0, 61.0, 68.0, 90.0, 99.0, 96.0, 84.0, 101005.7, 290.3, 289.3, 289.3, 288.8, 287.6, 283.8, 280.1, 276.4, 271.7, 267.4, 263.9, 260.5, 256.4, 287.8
2011-05-19 06:00, 0, 2.0, NaN, 2.8380064741516113, 1.4967567629241942, 242, 3.2085139168602295, 4.082063814620971, 67.0, 0.0, 57.0, 16.0, 75.0, 72.0, 62.0, 59.0, 60.0, 66.0, 69.0, 65.0, 72.0, 87.0, 96.0, 97.0, 95.0, 101074.9, 289.9, 289.3, 289.4, 288.7, 287.1, 283.2, 279.7, 275.8, 271.4, 267.4, 263.7, 259.8, 255.7, 289.8
2011-05-19 09:00, 240, 4.0, NaN, 4.704092948303223, -0.5831520231723786, 277, 4.740100921753265, 5.053983814620972, 44.0, 0.0, 20.0, 410.0, 76.0, 80.0, 78.0, 69.0, 68.0, 70.0, 67.0, 69.0, 78.0, 85.0, 91.0, 91.0, 88.0, 101116.4, 290.5, 288.6, 287.3, 287.5, 286.8, 283.2, 279.7, 276.0, 272.0, 268.0, 263.9, 260.1, 255.8, 291.8
2011-05-19 12:00, 340, 6.0, NaN, 5.676012948303223, -3.8293648556137083, 304, 6.846981684415056, 6.997823814620972, 32.0, 0.0, 2.0, 838.0, 81.0, 84.0, 85.0, 85.0, 79.0, 65.0, 66.0, 69.0, 70.0, 69.0, 77.0, 84.0, 87.0, 101166.6, 291.1, 289.4, 288.0, 286.8, 286.1, 284.0, 280.2, 276.3, 272.4, 268.6, 264.3, 260.2, 255.8, 292.7
2011-05-19 15:00, 0, 6.0, NaN, 4.062625433158875, -3.57666566488266, 311, 5.412713061718666, 5.83152, 27.0, 0.0, 0.0, 860.0, 84.0, 82.0, 80.0, 78.0, 76.0, 68.0, 63.0, 69.0, 73.0, 74.0, 80.0, 81.0, 82.0, 101124.0, 291.0, 289.7, 288.9, 287.8, 286.7, 284.0, 280.5, 276.5, 272.8, 269.1, 264.9, 260.8, 256.3, 292.3
2011-05-19 18:00, 330, 5.0, NaN, 2.8185680926895142, -3.2656510980415345, 319, 4.313792204924489, 4.8596, 31.0, 0.0, 0.0, 470.0, 89.0, 83.0, 75.0, 73.0, 70.0, 63.0, 62.0, 67.0, 72.0, 77.0, 83.0, 85.0, 85.0, 101153.8, 289.9, 289.3, 289.1, 288.1, 287.0, 284.1, 280.5, 276.6, 272.9, 269.0, 264.9, 260.8, 256.4, 290.9
2011-05-19 21:00, NaN, NaN, NaN, 0.563713583779335, -1.9827167629241944, 344, 2.061295409813435, 2.721375953655243, 29.0, 0.0, 3.0, 40.0, 87.0, 79.0, 71.0, 66.0, 60.0, 54.0, 54.0, 58.0, 61.0, 68.0, 77.0, 83.0, 70.0, 101231.5, 289.7, 289.8, 289.6, 288.7, 287.5, 284.4, 280.6, 276.7, 272.9, 268.9, 264.8, 260.7, 256.8, 287.0
2011-05-20 00:00, NaN, NaN, NaN, 2.079908901958466, -0.34989121390342715, 279, 2.1091336851923077, 2.721375953655243, 3.0, 0.0, 1.0, 0.0, 84.0, 82.0, 74.0, 71.0, 69.0, 65.0, 57.0, 55.0, 55.0, 61.0, 71.0, 83.0, 63.0, 101336.5, 289.6, 289.0, 288.8, 287.9, 286.6, 283.3, 279.9, 276.4, 272.7, 268.8, 264.7, 260.4, 256.3, 286.5
